rank,name,usnews_link,school_website
1,Princeton University,https://www.usnews.com/best-colleges/princeton-university-2627,http://www.princeton.edu/
2,Massachusetts Institute of Technology,https://www.usnews.com/best-colleges/massachusetts-institute-of-technology-2178,http://web.mit.edu/
3,Harvard University,https://www.usnews.com/best-colleges/harvard-university-2155,http://www.harvard.edu/
4,Stanford University,https://www.usnews.com/best-colleges/stanford-university-1305,http://www.stanford.edu/
5,Yale University,https://www.usnews.com/best-colleges/yale-university-1426,https://www.yale.edu/
6,University of Chicago,https://www.usnews.com/best-colleges/university-of-chicago-1774,http://www.uchicago.edu/
7,Duke University,https://www.usnews.com/best-colleges/duke-university-2920,http://www.duke.edu/
8,Johns Hopkins University,https://www.usnews.com/best-colleges/jhu-2077,http://www.jhu.edu/
9,Northwestern University,https://www.usnews.com/best-colleges/northwestern-university-1739,http://www.northwestern.edu/
10,University of Pennsylvania,https://www.usnews.com/best-colleges/university-of-pennsylvania-3378,http://www.upenn.edu/
11,California Institute of Technology,https://www.usnews.com/best-colleges/california-institute-of-technology-1131,https://www.caltech.edu/
12,Cornell University,https://www.usnews.com/best-colleges/cornell-university-2711,http://www.cornell.edu/
13,Brown University,https://www.usnews.com/best-colleges/brown-university-3401,https://www.brown.edu/
14,Dartmouth College,https://www.usnews.com/best-colleges/dartmouth-college-2573,http://www.dartmouth.edu/
15,Columbia University,https://www.usnews.com/best-colleges/columbia-university-2707,http://www.columbia.edu/
16,"University of California, Berkeley",https://www.usnews.com/best-colleges/university-of-california-berkeley-1312,https://www.berkeley.edu/
17,Rice University,https://www.usnews.com/best-colleges/rice-3604,http://www.rice.edu/
18,"University of California, Los Angeles",https://www.usnews.com/best-colleges/ucla-1315,http://www.ucla.edu/
19,Vanderbilt University,https://www.usnews.com/best-colleges/vanderbilt-3535,http://www.vanderbilt.edu/
20,Carnegie Mellon University,https://www.usnews.com/best-colleges/carnegie-mellon-university-3242,http://www.cmu.edu/
21,University of Michigan--Ann Arbor,https://www.usnews.com/best-colleges/university-of-michigan-ann-arbor-9092,https://umich.edu/
22,University of Notre Dame,https://www.usnews.com/best-colleges/university-of-notre-dame-1840,http://www.nd.edu/
23,Washington University in St. Louis,https://www.usnews.com/best-colleges/washington-university-in-st-louis-2520,https://washu.edu/
24,Emory University,https://www.usnews.com/best-colleges/emory-university-1564,http://www.emory.edu/
25,Georgetown University,https://www.usnews.com/best-colleges/georgetown-university-1445,http://www.georgetown.edu/
26,University of North Carolina--Chapel Hill,https://www.usnews.com/best-colleges/university-of-north-carolina-chapel-hill-2974,Error
27,University of Virginia,https://www.usnews.com/best-colleges/uva-6968,http://www.virginia.edu/
28,University of Southern California,https://www.usnews.com/best-colleges/university-of-southern-california-1328,Not found
29,University of California San Diego,https://www.usnews.com/best-colleges/university-of-california-san-diego-1317,http://www.ucsd.edu/
30,University of Florida,https://www.usnews.com/best-colleges/university-of-florida-1535,https://www.ufl.edu/
31,"University of California, Davis",https://www.usnews.com/best-colleges/university-of-california-davis-1313,http://www.ucdavis.edu/
32,"University of California, Irvine",https://www.usnews.com/best-colleges/university-of-california-irvine-1314,http://www.uci.edu/
33,Boston College,https://www.usnews.com/best-colleges/boston-college-2128,http://www.bc.edu/
34,Tufts University,https://www.usnews.com/best-colleges/tufts-university-2219,https://www.tufts.edu/
35,University of Illinois Urbana-Champaign,https://www.usnews.com/best-colleges/university-of-illinois-urbanachampaign-1775,https://illinois.edu/
36,University of Wisconsin--Madison,https://www.usnews.com/best-colleges/university-of-wisconsin-3895,http://www.wisc.edu/
37,"University of California, Santa Barbara",https://www.usnews.com/best-colleges/university-of-california-santa-barbara-1320,https://www.ucsb.edu/
38,The University of Texas--Austin,https://www.usnews.com/best-colleges/the-university-of-texas-austin-3658,Error
39,Georgia Institute of Technology,https://www.usnews.com/best-colleges/georgia-institute-of-technology-1569,Not found
40,New York University,https://www.usnews.com/best-colleges/nyu-2785,http://www.nyu.edu/
41,The Ohio State University,https://www.usnews.com/best-colleges/ohio-state-6883,https://http//www.osu.edu
42,University of Georgia,https://www.usnews.com/best-colleges/university-of-georgia-1598,https://www.uga.edu/
43,University of Rochester,https://www.usnews.com/best-colleges/university-of-rochester-2894,https://www.rochester.edu/
44,Case Western Reserve University,https://www.usnews.com/best-colleges/case-western-reserve-university-3024,Not found
45,Florida State University,https://www.usnews.com/best-colleges/florida-state-university-1489,http://www.fsu.edu/
46,Virginia Tech,https://www.usnews.com/best-colleges/virginia-tech-3754,https://www.vt.edu/
47,Wake Forest University,https://www.usnews.com/best-colleges/wake-forest-2978,Error
